,Unnamed: 0,material_id,pretty_formula,e_above_hull,formation_energy_per_atom,band_gap,G_Reuss,G_VRH,G_Voigt,G_Voigt_Reuss_Hill,K_Reuss,K_VRH,K_Voigt,K_Voigt_Reuss_Hill,elastic_anisotropy,homogeneous_poisson,poisson_ratio,universal_anisotropy,nsites,V0,C,E0,B
0,0,mp-2172,AlAs,0,-0.4846066550000003,1.6871,37.0,39.0,41.0,39.0,70.0,70.0,70.0,70.0,0.54,0.26,0.26,0.54,2,23.568872842322005,5.024930957132822,-4.687034548877901,3.7776061728813035
1,0,mp-661,AlN,0,-1.59590109119,4.0536,121.0,122.0,122.0,122.0,194.0,194.0,195.0,194.0,0.03,0.24,0.24,0.03,4,10.633642972160066,4.467787868525826,-7.445914925318675,10.969059615474663
2,0,mp-2534,GaAs,0,-0.350102595,0.1839000000000004,39.0,41.0,42.0,41.0,61.0,61.0,61.0,61.0,0.41,0.23,0.23,0.41,2,23.781238140909732,5.595473350134549,-4.195228014776406,3.4219810592490565
3,0,mp-804,GaN,0,-0.6683312886899992,1.7375999999999996,104.0,105.0,107.0,105.0,172.0,172.0,172.0,172.0,0.13,0.25,0.25,0.13,4,11.738652302808593,5.194936530520009,-6.158855656254779,9.612552114656797
4,0,mp-2490,GaP,0,-0.4086167242857135,1.6843000000000004,50.0,52.0,54.0,52.0,76.0,76.0,76.0,76.0,0.4,0.22,0.22,0.4,2,20.86049857499988,5.330589822013781,-4.629680986182535,4.281815766495625
5,0,mp-32,Ge,0,0.0,0.0,44.0,45.0,47.0,45.0,59.0,59.0,59.0,59.0,0.32,0.19,0.19,0.32,2,23.91038424515175,5.744773107364386,-4.623151537151952,3.3434606925055785
6,0,mp-20305,InAs,0,-0.2289677000000001,0.3049999999999997,24.0,25.0,27.0,25.0,49.0,49.0,49.0,49.0,0.67,0.28,0.28,0.67,2,29.670478080639167,5.753828469900421,-3.9386450870741516,2.741495847553315
7,0,mp-20351,InP,0,-0.2058014592857144,0.4664000000000001,29.0,31.0,33.0,31.0,59.0,59.0,59.0,59.0,0.63,0.28,0.28,0.63,2,26.489853533915024,5.55329012199314,-4.291291735726355,3.3330336023507585
8,0,mp-149,Si,0,0.0,0.8526999999999996,59.0,61.0,63.0,61.0,83.0,83.0,83.0,83.0,0.3,0.2,0.2,0.3,2,20.44670278884285,4.986513157963165,-5.424963506226213,4.964976215221973
9,0,mp-117,Sn,0,0.0,0.0,21.0,21.0,22.0,21.0,38.0,38.0,38.0,38.0,0.33,0.27,0.27,0.33,2,36.8380188721073,5.889602511811051,-4.010718312036041,2.045578073076266
